Avg_Area_Income,Avg_Area_House_Age,Avg_Area_Number_of_Rooms,Avg_Area_Number_of_Bedrooms,Area_Population,Address,Neighbourhood,Price
67561,5,7,4,35517,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688",Rich,1238938
48904,4,5,3,32960,"2124 Garcia Viaduct
North Kellytown, DC 30864",Middle_Class,201898
72145,6,8,6,28882,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708",Rich,1439506
70805,4,5,3,29268,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448",Middle_Class,585608
65383,7,6,3,35114,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159",Rich,1294685
95450,6,6,3,39388,"035 Mark Bridge
West Craig, MT 78649",Super_Rich,2014851
73698,6,6,4,51815,"69600 Wilson Rue
Elizabethland, PW 17767-2884",Super_Rich,1840236
66263,6,6,4,49829,"001 Steve Plaza
Jessicastad, UT 25190",Rich,1441421
75394,6,7,4,22268,"238 Anthony Drive
Acostahaven, AS 62753-6637",Super_Rich,1498640
65984,6,6,2,21867,"01818 Wilson Spurs
West Andreaton, SD 69568-7005",Middle_Class,954746
66477,6,6,2,32458,"95779 Walton Square
Bakershire, PR 49599",Rich,1124635
69284,5,7,3,40282,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969",Rich,1169944
70404,5,6,2,37127,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246",Rich,1114430
74218,8,6,4,46770,"106 Williams Well Apt. 657
Samanthaview, PR 87811",Super_Rich,1783534
63441,6,7,3,48061,"Unit 3405 Box 4348
DPO AP 68816-2990",Rich,1302933
57493,6,6,4,47039,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287",Rich,1241483
81543,5,5,2,9816,"Unit 5889 Box 7282
DPO AE 41177-0399",Middle_Class,954114
78633,5,7,3,43728,"075 Andrea Green Suite 201
Johnshire, KS 50389",Super_Rich,1555320
52202,4,4,2,42165,"6811 Spears Trail Suite 081
East Troy, MS 43910",Middle_Class,404976
67980,5,6,2,25909,"69401 Danielle Motorway
New Dennis, IL 53971",Rich,1073183
78568,5,6,2,41016,"2276 Riley Flats Suite 975
Johnmouth, NH 39983",Rich,1422195
55472,4,5,3,15353,"91111 Crane Spur
Kathleenmouth, ME 43022-3191",Middle_Class,340605
67579,5,7,6,21762,"744 Hill Ports
Mooreside, MH 20945-2825",Rich,1170959
61456,6,6,4,30821,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176",Middle_Class,942838
60815,7,7,4,31233,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788",Rich,1401613
51217,5,8,3,47089,"USS Harrington
FPO AE 12326",Rich,1175504
63027,4,5,2,35991,"246 Michele Lock Suite 093
South Michellemouth, VI 62800",Middle_Class,608794
62484,6,7,5,26882,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243",Middle_Class,946943
73923,7,7,6,58745,"232 Allen Ridge
West Jasonview, CT 93021",Super_Rich,1819900
79737,7,6,2,28307,"5042 Ricky Road
New Candice, MN 40661-8809",Rich,1463130
63890,4,7,5,43416,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346",Rich,1252391
67310,7,7,5,43310,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307",Super_Rich,1714445
73145,4,7,3,49463,"8533 Sparks Lodge
New Kevin, GA 98179",Rich,1291759
86924,6,7,6,28719,"922 Mark Lodge
Matthewton, ID 71131-3139",Super_Rich,1809154
74384,7,5,2,17117,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985",Rich,1200539
67477,6,7,5,29763,"PSC 8479, Box 0952
APO AA 33741",Rich,1300265
71202,4,6,4,34207,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463",Middle_Class,997448
85845,6,9,3,46477,"255 Sosa Pines Suite 751
Wilsonview, MT 31615",Super_Rich,2152959
72138,7,8,5,35799,"156 Conner Lane
East Brittany, MI 26733",Super_Rich,1629983
44806,4,4,3,57390,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408",Middle_Class,497579
67504,5,5,4,37441,"67610 Smith Knolls
Brendaberg, MA 55188-7972",Middle_Class,890112
74706,5,5,2,39680,"504 Robertson Streets
Jamesshire, WA 56754",Rich,1064685
68898,6,7,6,39515,"777 Ross Crossroad
Kaiserville, RI 24445",Super_Rich,1530124
58118,8,5,4,35598,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408",Rich,1246246
77643,6,5,4,35512,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552",Rich,1240754
67769,8,6,4,33254,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101",Super_Rich,1760734
74411,5,7,6,43537,"4930 James Flats
New Shannon, NJ 75829-8040",Rich,1393746
73101,4,8,4,29497,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682",Rich,1172385
58708,5,6,4,15969,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758",Middle_Class,483986
63876,7,7,3,38052,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904",Rich,1388530
68343,6,8,6,40653,"4746 Morgan Forge
Diaztown, VT 79978",Super_Rich,1721739
73064,5,7,6,30699,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208",Rich,1276448
67367,6,6,2,32547,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264",Rich,1161742
66547,6,5,2,16741,"249 Susan Canyon
North Jessica, ID 13412",Middle_Class,786407
73313,6,8,4,37808,"08091 Bush Course
New Michael, RI 47524-7511",Super_Rich,1604920
47681,6,7,5,50908,"PSC 6933, Box 3805
APO AP 50576",Rich,1230149
67910,6,6,4,31379,"6798 Smith Junctions
Wolfeton, WY 86565-5079",Rich,1051644
69277,6,7,5,43717,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763",Rich,1415073
67946,5,5,3,35197,"68672 Guzman Ridge
Clinefurt, WI 04078-6179",Rich,1043483
90975,4,8,6,44426,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593",Super_Rich,1544379
61885,5,6,3,48726,"USCGC Hess
FPO AE 29193",Rich,1352135
69401,7,8,3,29293,"0617 Neal Curve
South Daniel, AS 09326",Super_Rich,1505727
72969,6,8,4,31755,"412 Janet Radial Suite 115
Kariview, NY 37073-8343",Rich,1416965
75582,5,6,4,31946,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399",Rich,1046721
56241,5,6,2,32745,"3062 Donald Inlet Suite 642
West Matthew, GU 49340",Middle_Class,939040
79412,6,7,3,17568,"764 Timothy Turnpike
North Audreymouth, TX 02395",Rich,1383031
79618,4,6,3,29636,"862 Ryan Flat
West Larryborough, WV 11517",Rich,1072503
67019,6,7,6,24997,"378 Evans Crest
East Shelbystad, HI 23326",Rich,1134397
56063,5,5,4,39129,"09897 Katherine Forge
North Johnside, NC 01211",Middle_Class,734827
57077,5,6,4,33393,"2367 Noah Center
North Dakotashire, PA 99619-0890",Middle_Class,991892
75954,4,7,5,34467,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647",Rich,1057252
52575,7,7,4,41828,"8803 Jackson Ramp
South Thomasland, RI 09631-6361",Rich,1237224
63312,6,8,4,43230,"87629 Shawn Crossing
North William, MN 71601-6188",Rich,1442632
82526,6,7,4,43947,"2574 Shannon Alley
South Fred, OR 64217",Super_Rich,1877402
73204,6,7,6,35090,"676 Jose Locks Apt. 415
South Cynthia, SC 89264",Rich,1394518
56357,5,5,3,38061,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160",Middle_Class,953939
71316,7,7,5,21651,"26847 Weber Ports Apt. 767
North Robinton, FM 43014",Rich,1219778
75046,4,8,3,32468,"PSC 8891, Box 6475
APO AP 28726-5123",Rich,1287325
84474,6,5,2,38677,"623 Jackson Road Apt. 492
Sarahville, NM 19973",Super_Rich,1739893
68162,6,6,3,31843,"0575 Edward Cliff
Miguelmouth, NY 06408",Rich,1213382
62784,7,4,3,35122,"6660 Alex Park
Barkerfort, WY 52781",Rich,1007478
67009,6,7,3,39737,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326",Super_Rich,1528756
67437,6,6,2,29356,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626",Rich,1182459
65967,6,7,3,35799,"842 Jackson Parkway
Angelabury, MI 68188-8699",Super_Rich,1474546
42816,7,7,4,47457,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649",Rich,1078016
83347,5,5,3,48226,"0647 Ramirez Hill
New Crystalport, AZ 33060",Rich,1453381
81699,5,6,4,39527,"4233 Chase Fields
East Vanessabury, OR 85375-7861",Super_Rich,1495012
56143,4,6,4,45084,"0606 Ricardo Drive
Williamton, GU 79243",Middle_Class,714148
59513,4,5,3,44162,"14157 Jones Parkway Suite 319
North Haley, AK 18534",Middle_Class,894292
78379,5,5,3,31357,"2579 Pamela Shoals
North Christianhaven, TX 95259",Rich,1159841
70877,6,7,5,36033,"PSC 5171, Box 6452
APO AA 44610-4655",Rich,1195986
61526,6,9,6,27307,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067",Rich,1381430
65316,7,6,2,55799,"32521 Martinez Highway
Stephaniehaven, NY 78577",Super_Rich,1534889
76268,6,6,3,38649,"9109 Omar View Suite 461
East Sarahfort, WI 02969",Super_Rich,1494125
48531,6,8,5,39731,"5611 Chandler Mill
East Brianfort, AK 51236-0093",Rich,1356146
82906,5,5,4,38820,"PSC 5599, Box 5942
APO AP 55563-1953",Rich,1454943
63117,4,5,2,43091,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338",Middle_Class,774118
75860,3,4,3,41003,"019 Moore Center Apt. 643
West John, KY 54923",Middle_Class,889113
68844,4,6,3,48392,"Unit 3192 Box 6415
DPO AP 76779-7624",Rich,1211102
52446,5,7,3,32934,"20185 Mary Crest
South Reneeville, VI 91892",Middle_Class,658646
69342,5,7,3,37082,"18067 Williams Roads Suite 683
South Christineton, CO 76227",Rich,1400104
55932,7,6,4,42488,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132",Rich,1262017
53306,4,6,2,39063,"9643 Oscar Valley
North Richardstad, ME 14629-9980",Middle_Class,553077
56976,6,7,3,46375,"46619 Morgan Squares
Stevenfurt, FM 70548",Rich,1203247
51296,6,7,6,32078,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414",Rich,1115323
63995,7,7,5,24748,"USCGC Friedman
FPO AE 57606-0743",Rich,1301881
71915,6,5,4,27714,"038 Anderson Club Suite 485
Richardsonfort, MA 22267",Rich,1006687
62137,5,7,5,19045,"014 Shaun Gardens
Lake Todd, HI 08110",Middle_Class,749383
78050,5,6,4,27789,"2606 Stout Inlet
Port Brenda, SC 59596-5906",Rich,1075596
67371,5,6,4,24797,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902",Middle_Class,739870
59362,7,8,3,44723,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228",Rich,1442945
57003,7,6,3,29594,"089 Jessica Dale
West Melissa, PW 59364",Middle_Class,828497
68989,6,7,6,32629,"USNS Hamilton
FPO AA 90003",Rich,1373290
70969,4,6,3,24833,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795",Middle_Class,925566
82251,7,7,6,18408,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868",Super_Rich,1552536
71306,5,6,2,43284,"3890 Hunt Trail
Davidhaven, OR 04793",Rich,1335904
70921,5,6,3,29390,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814",Middle_Class,960808
70739,6,7,6,35148,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433",Rich,1405933
58097,6,6,3,19903,"31995 Moore Brook
New Melissa, MO 19787",Middle_Class,619087
51273,7,6,2,53811,"Unit 5683 Box 5483
DPO AA 78774-2982",Rich,1329273
76326,5,4,3,42779,"77194 Carlson Causeway Apt. 904
West John, KY 70976",Rich,1261843
63584,5,6,4,46340,"73601 Donaldson Squares
Port John, VI 73473",Rich,1175781
86340,4,6,3,35630,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033",Rich,1437053
79471,5,8,6,36616,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442",Super_Rich,1594415
55879,6,5,2,37360,"54993 James Place Suite 797
South Kenneth, CA 86457-1211",Middle_Class,931357
40503,6,6,3,45979,"6799 Downs Plaza
Randallberg, NH 17910-5241",Middle_Class,798639
83394,5,5,2,30487,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110",Rich,1451739
64501,6,7,5,43869,"8173 Rush Wells
New Stephanie, MS 56356",Rich,1278991
59569,6,7,4,31294,"762 Corey Landing Suite 528
Billymouth, AZ 48958",Middle_Class,885920
69280,6,6,4,40290,"077 Laura Curve
New Christopherview, AZ 15138",Rich,1425632
66342,5,6,3,11792,"5342 Dean Overpass
Matthewville, MI 08613",Middle_Class,901881
73367,6,9,5,23684,"469 William Shore Suite 726
South Krystalchester, MP 47720",Super_Rich,1521730
57122,5,5,2,41972,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285",Middle_Class,716771
61978,7,8,5,56957,"017 Bowers Field
Williamsstad, OK 15934-8122",Super_Rich,1696717
54299,6,6,2,39512,"05946 Wong Spur
Susanshire, NY 67746-2473",Middle_Class,819598
71424,5,8,3,37242,"9297 Cole Highway
Patrickhaven, DC 02945-8988",Super_Rich,1584213
57353,8,5,4,16906,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496",Middle_Class,798892
44731,4,8,5,39633,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214",Middle_Class,601973
76175,4,9,4,30760,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191",Rich,1456486
66574,5,6,2,69575,"551 Macdonald Viaduct
West Stephanie, TN 55360",Super_Rich,1702406
91731,5,7,6,33102,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106",Super_Rich,1566471
75487,6,7,4,41105,"5036 Peterson Throughway
East Megan, GA 08456-4696",Super_Rich,1592210
58088,6,5,4,51925,"Unit 5584 Box 2763
DPO AE 40544",Middle_Class,937628
76319,6,6,3,48026,"09437 Carolyn Mountain
Knappview, CA 70608-7504",Super_Rich,1558547
60575,5,6,2,32158,"5052 Chloe Lights Apt. 374
North Scott, IA 81431",Rich,1156329
69607,7,7,3,34609,"8781 Robert Lakes Suite 880
East Wendy, ID 51813",Super_Rich,1514349
67056,5,7,5,25134,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399",Rich,1039107
60640,5,5,2,43119,"0956 Isabella Lodge
East Valeriefurt, CO 64441",Middle_Class,809089
69031,5,5,3,15660,"36736 Kristi Radial
Port Carl, ID 35292-9269",Middle_Class,675536
80356,4,9,5,16215,"10492 Reed Track
North Ericstad, IA 78774-8363",Rich,1373589
60081,6,8,4,60195,"Unit 6269 Box 9041
DPO AE 13073",Super_Rich,1690091
61881,6,7,5,35597,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878",Rich,1253370
59590,6,5,2,24153,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260",Middle_Class,774073
89831,5,7,6,45335,"77610 Evan Field Apt. 712
West Shannonland, WI 30751",Super_Rich,1741959
72175,7,6,2,50305,"11385 Thomas Ford
New Karinaton, HI 01691-9923",Super_Rich,1705762
67589,6,6,2,33203,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310",Rich,1071109
77300,5,6,4,29499,"039 Chan Meadows
South Amandahaven, TN 78068",Rich,1118047
65382,5,7,6,41723,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622",Rich,1165253
71145,6,6,2,35642,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205",Rich,1280910
61053,5,5,2,40675,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595",Middle_Class,841122
65125,5,7,4,37642,"90043 White Lane Apt. 673
Williamburgh, DE 67265",Rich,1228810
51949,6,8,5,35336,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342",Rich,1086072
75897,5,6,3,34162,"17853 Michael Motorway
Danielfurt, MH 28095",Rich,1204372
71468,6,6,3,43269,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752",Rich,1345004
53287,5,7,3,45152,"0205 Rose Crescent
East Ritaside, MD 10967",Rich,1116902
61503,5,7,3,37650,"18941 Ray Ports
East Nicoleland, OR 67363",Middle_Class,822431
68896,6,8,4,28394,"1515 Watson Fort
Christopherberg, MP 90562",Rich,1360623
91159,6,7,3,54861,"170 Smith Wall
South Christopherhaven, AZ 87521",Super_Rich,2298379
63375,6,7,3,45633,"064 Kaufman River
Danielburgh, CO 09090",Rich,1400498
59695,5,6,2,20702,"295 Angela Harbors
East Patriciaburgh, GA 95388",Middle_Class,566848
63183,5,7,5,58691,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559",Rich,1367586
61177,6,7,5,26396,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095",Rich,1113373
58642,5,6,3,35131,"6163 Michael Orchard
Gallagherborough, GA 48395",Middle_Class,721974
53112,5,6,4,40367,"4158 Drew Plains Apt. 975
Ericaview, MP 60784",Middle_Class,685503
40366,4,7,5,16349,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514",Middle_Class,152071
62207,7,7,5,34317,"2084 Carter Highway Suite 935
New Stevenmouth, DE 67121",Rich,1280431
57477,5,7,6,23649,"2105 Lauren Radial
Lake Michellestad, FL 92096-6812",Middle_Class,568703
55630,6,8,6,38943,"3407 Preston Pine
East Mark, NY 86626-3319",Rich,1200764
72399,6,7,6,41662,"719 Raymond Route
West Diane, ME 60200-7803",Super_Rich,1607161
89868,4,7,5,30101,"310 Paul Mill Suite 863
Pamelaland, AS 20202-1133",Rich,1421715
59801,4,4,2,33534,"47705 Bethany Forge Suite 965
North Heatherhaven, ND 10371",Middle_Class,311111
61957,7,7,4,38448,"791 Noble Port
Michaelland, OK 69198",Rich,1338044
71123,6,6,3,44020,"143 Thomas Rapid Apt. 929
West Laurieport, ND 69617",Rich,1417870
55202,4,8,3,28424,"690 Lozano Inlet
Michelleville, AL 07048-6472",Middle_Class,796389
79298,7,5,3,15753,"3591 Pham Spring Suite 077
Lisaport, CT 43572",Rich,1310207
65070,7,5,4,24852,"Unit 9227 Box 8732
DPO AE 73770",Middle_Class,994897
68494,7,7,5,13998,"530 Johnson Circles
Cathyborough, MN 30306",Rich,1202987
55702,5,5,3,40087,"029 Patricia Bridge Apt. 540
Tranmouth, MP 59378-9231",Middle_Class,768751
57233,7,6,2,37374,"880 Julie Union Suite 360
Sarahchester, LA 70074-3596",Rich,1211655
85313,6,6,4,23974,"85227 Kevin Stream Suite 299
Lake Todd, WV 65286",Super_Rich,1540418
60224,4,5,3,42182,"97544 Williams Unions Suite 893
South Harry, ME 21119",Middle_Class,712228
73873,6,6,3,33336,"844 Hanson Points
East Lisa, ME 83883",Super_Rich,1525533
63149,7,5,2,37578,"171 Rocha Via
Cassandrafort, RI 90064-6234",Rich,1034218
